                                                                                  Digital Campaign Performance Report                                                                                   

Channel     Campaign                   Budget    Spend     Budget Util%  Impressions  Clicks    CTR       Conversions  CVR       CPC (£)   CPL (£)   ROAS    
Email       Spring Offers              93,178    79,860    85.7%         253,876      3,645     1.44%     120          3.29%     21.91     665.44    0.15    
Display     Spring Offers              44,820    24,851    55.4%         26,996       930       3.44%     160          17.20%    26.72     155.31    0.64    
Email       Christmas Special          96,944    83,638    86.3%         611,171      23,599    3.86%     1,874        7.94%     3.54      44.63     2.24    
Email       New Year Boost             46,482    26,928    57.9%         689,829      3,965     0.57%     290          7.31%     6.79      92.85     1.08    
Display     New Year Boost             92,287    63,514    68.8%         906,528      38,601    4.26%     5,620        14.56%    1.65      11.30     8.85    
PPC         Back to School             78,758    57,985    73.6%         758,635      31,730    4.18%     3,934        12.40%    1.83      14.74     6.78    
PPC         Christmas Special          11,230    9,472     84.3%         184,829      3,214     1.74%     464          14.44%    2.95      20.41     4.90    
Social      Spring Offers              90,514    67,683    74.8%         797,155      32,326    4.06%     6,347        19.63%    2.09      10.66     9.38    
Social      Black Friday               60,187    47,082    78.2%         406,277      12,905    3.18%     1,736        13.45%    3.65      27.12     3.69    
Display     New Year Boost             78,861    75,857    96.2%         726,469      31,400    4.32%     875          2.79%     2.42      86.69     1.15    
Email       Christmas Special          77,191    67,523    87.5%         704,293      33,374    4.74%     1,342        4.02%     2.02      50.31     1.99    
Display     Summer Deals               99,227    71,570    72.1%         737,024      18,398    2.50%     3,220        17.50%    3.89      22.23     4.50    
Email       Black Friday               41,886    36,830    87.9%         666,978      22,957    3.44%     1,274        5.55%     1.60      28.91     3.46    
Email       Summer Deals               22,733    19,164    84.3%         460,281      18,202    3.95%     516          2.83%     1.05      37.14     2.69    
PPC         Summer Deals               31,336    24,356    77.7%         566,428      11,124    1.96%     792          7.12%     2.19      30.75     3.25    
PPC         Christmas Special          93,309    92,171    98.8%         635,793      29,495    4.64%     3,300        11.19%    3.12      27.93     3.58    
Social      Summer Deals               88,137    62,156    70.5%         608,615      14,261    2.34%     649          4.55%     4.36      95.77     1.04    
PPC         Spring Offers              72,372    59,322    82.0%         689,765      31,834    4.62%     5,951        18.69%    1.86      9.97      10.03   
Social      Spring Offers              86,154    45,497    52.8%         733,106      9,744     1.33%     1,281        13.15%    4.67      35.52     2.82    
Display     Christmas Special          95,275    93,167    97.8%         784,437      12,056    1.54%     249          2.07%     7.73      374.15    0.27    
PPC         Black Friday               78,850    53,670    68.1%         500,394      11,098    2.22%     1,506        13.57%    4.84      35.64     2.81    
Social      New Year Boost             13,637    12,028    88.2%         504,094      20,754    4.12%     1,015        4.89%     0.58      11.85     8.44    
PPC         Back to School             51,897    47,669    91.9%         822,595      11,480    1.40%     2,191        19.09%    4.15      21.76     4.60    
Social      Black Friday               11,902    11,623    97.7%         137,851      6,721     4.88%     402          5.98%     1.73      28.91     3.46    
PPC         Black Friday               52,774    37,284    70.6%         892,438      13,184    1.48%     212          1.61%     2.83      175.86    0.57    
Social      Back to School             9,361     6,939     74.1%         581,447      4,711     0.81%     133          2.82%     1.47      52.17     1.92    
